"collections_title","collections_url","collections_tags_media","collections_tags_subject","collections_description"
"James Madison Papers\, 1723-1859","https://www.loc.gov/collections/james-madison-papers/about-this-collection/","","","James Madison (1751-1836) is one of 23 presidents whose papers are held in the Manuscript Division of the Library of Congress. The Madison Papers consist of approximately 12\,000 items\, spanning the period 1723-1859\, captured in some 72\,000 digital images. They document the life of the man who came to be known as the “Father of the Constitution” through correspondence\, personal notes\, drafts of letters..."
"James Monroe Papers","https://www.loc.gov/collections/james-monroe-papers/about-this-collection/","","","The James Monroe Papers at the Manuscript Division of the Library of Congress consist of approximately 5\,200 items dating from 1758 to 1839. Monroe (1758–1831) was the fifth president of the United States\, and one of 23 presidents whose papers are at the Library of Congress. Monroe's papers document his presidency and also his prior careers as secretary of state\, secretary of war\, delegate..."
"Japanese Censorship Collection","https://www.loc.gov/collections/japanese-censorship-collection/about-this-collection/","","","The Japanese Censorship Collection contains 1\,327 marked-up copies of censored monographs and galley proofs for approximately 1\,100 titles\, mostly from the 1920s and 1930s. They include copies submitted by publishers for examination by censors in the Home Ministry of the Japanese imperial government as well as books lawfully confiscated by the ministry and local authorities for censor review. The practice of censorship were carried..."
"Japanese-American Internment Camp Newspapers 1942-1946","https://www.loc.gov/collections/japanese-american-internment-camp-newspapers/about-this-collection/","","War-WW2","Produced by the Japanese-Americans interned at assembly centers and relocation centers around the country during World War II\, these newspapers provide a unique look into the daily lives of the people who were held in these camps. They include articles written in English and Japanese\, typed\, handwritten and drawn. They advertise community events\, provide logistical information about the camps and relocation\, report on news from the community\, and include editorials."
"Jazz on the Screen Filmography","https://www.loc.gov/collections/jazz-on-screen-filmography/about-this-collection/","","","Jazz on the Screen is a reference work of filmographic information and does not point to digitized versions of the items described. Celebrating 40 years since the initial JAZZ IN THE MOVIES Jazz on the Screen reflects the opinions of its author\, David Meeker\, and not the views of the Library of Congress. This is the sixth corrected and expanded edition of a database..."
"Jedediah Hotchkiss Papers","https://www.loc.gov/collections/jedediah-hotchkiss-papers/about-this-collection/","","","The papers of educator\, Confederate cartographer and topographical engineer Jedediah Hotchkiss (1828-1899) span the years 1835-1908\, with the bulk of the material dating from 1875 to 1898. They consist of approximately 20\,000 items\, most digitally scanned from 61 microfilm reels\, although some account books and other financial records of Sara Anne Comfort Hotchkiss\, which had never been microfilmed\, were digitized from the originals. The..."
"Joe Smith","https://www.loc.gov/collections/joe-smith/about-this-collection/","","","Joe Smith with Richard Perry photo: Sandy Gibson More than 25 years ago\, retired music executive Joe Smith accomplished a Herculean feat—he got more than 200 celebrated singers\, musicians and industry icons to talk about their lives\, music\, experiences and contemporaries. In 2012 Smith donated this treasure trove of unedited sound recordings to the nation's library. The Joe Smith Collection contains over 225 recordings..."
"John Carvel Arnold Papers","https://www.loc.gov/collections/john-carvel-arnold-papers/about-this-collection/","","War-AmericanCivilWar","The papers of laborer and Union soldier John Carvel Arnold (1833-1865) consist of 190 items (533 images) in one container and span the years 1856-1937\, with the bulk dating from 1864 to 1874. The collection principally contains correspondence of Arnold with his wife\, Mary Ann Arnold\, during his Civil War service with Company I\, 49th Pennsylvania Infantry Regiment\, U.S. Army\, relating chiefly to his..."
"John J. Pershing Papers","https://www.loc.gov/collections/john-pershing-papers/about-this-collection/","","War-WW1","The diaries\, notebooks\, and address books of John Joseph Pershing (1860-1948)\, U.S. army officer and commander-in-chief of the American Expeditionary Forces in World War I\, are part of a larger collection of Pershing papers available for research use onsite in the Manuscript Reading Room of the Library of Congress. The entire collection spans the years 1882-1971\, with the bulk of the material concentrated in..."
"John Tyler Papers","https://www.loc.gov/collections/john-tyler-papers/about-this-collection/","","","The John Tyler Papers\, one of twenty-three presidential collections in the Library of Congress Manuscript Division\, contains more than 1\,400 items dating from 1691 to 1918\, most of which fall between 1757 and 1918. The collection is made up primarily of correspondence\, including letters and copies of letters to or from Tyler (1790-1862)\, a governor and U.S. representative and senator from Virginia\, who served..."
"Johnston (Frances Benjamin) Collection","https://www.loc.gov/collections/frances-benjamin-johnston/about-this-collection/","Media-Photos","","NEW! See Gardens and Historic Houses in more than 1\,000 hand-colored photos Collection Overview: Lantern Slides for Garden & Historic House Lectures Frances Benjamin Johnston (1864-1952) was one of the first American women to achieve prominence as a photographer. Trained at the Académie Julian in Paris\, she studied photography upon her return to Washington\, D.C.\, in the mid-1880s and opened a professional studio circa..."
"Joseph Holt Papers","https://www.loc.gov/collections/joseph-holt-papers/about-this-collection/","","","The papers of commissioner of patents\, United States postmaster general\, secretary of war\, judge advocate general of the United States Army\, and lawyer Joseph Holt (1807-1894) consists of 20\,000 items in 118 containers and three oversize folders. The material spans the years 1797-1917\, with the bulk concentrated in the period 1859-1889. The collection consists principally of correspondence supplemented by diaries\, ledgers\, account books\, bills..."
"Korab Collection","https://www.loc.gov/collections/korab/about-this-collection/","Media-Photos","","This selection of almost 800 photographs by Balthazar Korab (b. 1926) documents 19 projects designed by renowned architect Eero Saarinen (1910-1961). Included are corporate headquarters\, airports\, university facilities\, embassies\, private residences\, churches\, a museum\, and a monumental arch. Korab captured their development in the 1950s and 1960s from model and site plan through construction to finished exteriors and interiors. Born in Budapest\, Hungary\, Korab..."
"Lamb Studios Archive","https://www.loc.gov/collections/lamb-studio/about-this-collection/","","","This online presentation offers images of nearly 2\,500 design sketches for stained glass windows\, murals\, mosaics\, furnishings\, metalwork\, and interior architecture. The drawings feature striking watercolors created from the 1860s to the 1990s\, primarily for churches\, synagogues\, and other sacred spaces. The J. & R. Lamb Studios was founded in 1857 and is the oldest decorative arts firm in continuous operation in the United..."
"Laotian General Election 2011 Web Archive","https://www.loc.gov/collections/laotian-general-election-2011-web-archive/about-this-collection/","","","Collection Period: June 2011 to November 2011. Laos\, one of the world’s few remaining communist regimes\, holds general elections for the National Assembly every five years. Parliamentary Election and Presidential Election were held on April 30\, 2011 and June 2011. The elections are significant political events in Laos reflecting the activeness of the Lao population in exercising their democratic right to elect their representatives..."
"Lars Schmidt Collection","https://www.loc.gov/collections/lars-schmidt/about-this-collection/","","","Swedish theatrical producer\, director\, and publisher Lars Schmidt (1917-2009) spent over 50 years in the theater business. He began as a licensee of American plays and owner of a theater boat in Sweden\, ultimately becoming a theater owner in France and a producer throughout the world. His urbane manner and his business acumen allowed him to develop friendly\, and usually successful\, business partnerships of..."
"Last Days of a President: Films of McKinley and the Pan-American Exposition\, 1901","https://www.loc.gov/collections/mckinley-and-the-pan-american-expo-films-1901/about-this-collection/","","","The twenty-eight films of this collection are actuality motion pictures from the Paper Print Collection of the Library of Congress. They include footage of President William McKinley at his second inauguration; of the Pan-American Exposition in Buffalo\, New York; of President McKinley at the Pan-American Exposition; and of President McKinley's funeral. The films were produced by the Edison Manufacturing Company from March to November..."
"Lawrence & Houseworth Collection","https://www.loc.gov/collections/lawrence-and-houseworth/about-this-collection/","Media-Photos","","In 1867 the Library of Congress acquired a set of more than 900 albumen silver half stereographs published by Lawrence and Houseworth of San Francisco. The acquisition also included the third edition of Gems of California Scenery\, a catalog listing titles for all the views published by the firm. This was one of the Library's earliest photographic acquisitions. The images date from 1862 to..."
"Legal Blawgs Web Archive","https://www.loc.gov/collections/legal-blawgs-web-archive/about-this-collection/","","","Collection Period: March 1\, 2007 to ongoing. This is a selective collection of authoritative sites (associated with American Bar Association approved law schools\, research institutes\, think tanks\, and other expertise-based organizations) that contain unique\, born digital content. These blogs contain journal-style entries\, articles and essays\, discussions\, and comments on emerging legal issues\, national and international. Additional sites are selected incrementally."
"Legislative Branch Web Archive","https://www.loc.gov/collections/legislative-branch-web-archive/about-this-collection/","","","Collection Period: September 1\, 2001 to ongoing. The Legislative Branch Web Archive includes a variety of website created by Congressional groups and agencies that fall within the legislative branch. This includes website created by Congress for specific topics or bills\, websites for congressional groups including majority and minority offices\, Architect of the Capitol\, Government Publishing Office and the Library of Congress. While some Library..."
"Leonard Bernstein","https://www.loc.gov/collections/leonard-bernstein/about-this-collection/","","","About the Leonard Bernstein Collection The Leonard Bernstein Collection at the Library of Congress is as exceptional as its name would suggest. Bernstein\, arguably the most prominent figure in American classical music of the second half of the twentieth century\, made his impact as a conductor\, as a composer of classical and theater music\, and as an educator through books\, conducting students at Tanglewood\,..."
"Lessing J. Rosenwald Collection","https://www.loc.gov/collections/lessing-j-rosenwald/about-this-collection/","","","In 1943\, at the height of WWII\, Lessing J. Rosenwald (1891-1979) announced that he would donate the entirety of his graphic arts collection\, as well as all future purchases\, to both the Library of Congress and the National Gallery of Art. Then Librarian of Congress\, Archibald MacLeish\, noted the gravity of the gift and its timing. In an open letter to Mr. Rosenwald\, MacLeish..."
"Lewis Carroll Scrapbooks","https://international.loc.gov/intldl/carrollhtml/lchome.html","Media-Photos","","An original scrapbook that was kept by Charles Lutwidge Dodgson. Better known as Lewis Carroll\, the Victorian-era children’s author of Alice’s Adventures in Wonderland (1865) and Through the Looking-Glass (1871)\, Dodgson was a lecturer in mathematics at the University of Oxford. The scrapbook contains approximately 130 items\, including newspaper clippings\, photographs\, and a limited number of manuscript materials\, collected between 1855-72. A timeline\, authored..."
"Lewis H. Machen Family Papers","https://www.loc.gov/collections/machen-family-papers/about-this-collection/","","War-AmericanCivilWar","The Gresham family material in the Lewis H. Machen Family Papers consists of seven diaries kept by Georgia teenager LeRoy Wiley Gresham (1847-1865) during the Civil War\, and approximately 550 items of correspondence\, primarily letters exchanged by members his family's inner circle. Among the principal figures represented\, all from Macon\, Georgia\, are John Jones Gresham\, an attorney\, judge\, and plantation owner; his wife Mary..."
"The Library of Congress Celebrates the Songs of America","https://www.loc.gov/collections/songs-of-america/about-this-collection/","","","See and Hear American History Through Song \"Know the songs of a country and you will know its history for the true feeling of a people speaks through what they sing.\" – Preface to The Songs of Henry Clay Work (1884) Listen to the changes in the \"Star Spangled Banner\" as played by different bands in different eras. Look at the ways in which..."
"Library of Congress Concerts","https://www.loc.gov/collections/concerts-from-the-library-of-congress/about-this-collection/","","","The Library of Congress Music Division has presented one of the world's most distinguished concert series for nearly ninety years. The concert webcasts featured on this site provide an introduction to the extraordinary history of more than 3\,000 events presented since the founding of the series by philanthropist Elizabeth Sprague Coolidge in 1925. Captions for the images: (left) The Coolidge Auditorium; (right\, top to..."
"The Life of a City: Early Films of New York\, 1898-1906","https://www.loc.gov/collections/early-films-of-new-york-1898-to-1906/about-this-collection/","","","This collection contains forty-five films of New York dating from 1898 to 1906 from the Paper Print Collection of the Library of Congress. Of these\, twenty-five were made by the American Mutoscope and Biograph Company\, while the remaining twenty are Edison Company productions."
"Liljenquist Family Collection of Civil War Photographs","https://www.loc.gov/collections/liljenquist-civil-war-photographs/about-this-collection/","Media-Photos","War-AmericanCivilWar","More than 2\,500 special portrait photographs\, called ambrotypes and tintypes\, and small card photos called cartes de visite represent both Union and Confederate soldiers during the American Civil War (1861-1865). The portraits often show weapons\, hats\, canteens\, musical instruments\, painted backdrops\, and other details that enhance the research value of the collection. Other photo topics include flags\, city views\, veterans\, and ships. Among the..."
"Lomax Collection","https://www.loc.gov/collections/lomax/about-this-collection/","Media-Photos","","The collection includes 400 snapshot photographs made in the course of sound recording expeditions carried out by John Avery Lomax\, Alan Lomax\, and Ruby Terrill Lomax\, between 1934 and ca. 1950 for the Archive of American Folk-Song. The photographs\, which were transferred to the Prints and Photographs Division from the Archive of American Folk-Song in 1950\, depict African American\, Mexican American\, and white musicians\,..."
"Look Collection","https://www.loc.gov/collections/look-magazine/about-this-collection/","Media-Photos","","The Look Magazine Photograph Collection is a vast photographic archive created to illustrate Look Magazine and related publications produced by companies founded by Gardner Cowles. The cataloged portion of the collection totals some four million published and unpublished images made by photographers working for Look\, most dating 1952-1971. With its coverage of U.S. and international lifestyles\, celebrities\, and events\, the collection offers insight into..."
"Louisiana: European Explorations and the Louisiana Purchase","https://www.loc.gov/collections/louisiana-european-explorations-and-the-louisiana-purchase/about-this-collection/","","","The Louisiana Purchase is a landmark event in American history\, one that had a lasting impact not only on the size of the United States\, but also on its economic\, cultural\, and political makeup. Before President Thomas Jefferson's administration purchased the territory in 1803\, parts or all of the territory had been under the control of various Native American nations.  From the 16th century..."
"Lowell Folklife Project Collection","https://www.loc.gov/collections/lowell-folklife-project/about-this-collection/","","","The Lowell Folklife Project was conducted in 1987-1988 as a cooperative project of the American Folklife Center and the Lowell Historic Preservation Commission\, with support from the Massachusetts Council on the Arts and Humanities\, to document contemporary ethnic neighborhoods\, occupations\, and community life related to the history of industrialization in Lowell\, Massachusetts. This year-long study yielded an ethnographic collection consisting of 196 hours of..."
"Manuscript Division Web Archive","https://www.loc.gov/collections/manuscript-division-web-archive/about-this-collection/","","","Collection Period: March 30\, 2006 to December 2\, 2006 and January 1\, 2009 to Present (ongoing archive). The Manuscript Division Web Archive includes principally websites of organizations with which the Division has an existing relationship. Although diverse in content\, they fall into several broad categories. First\, there are sites for non-governmental\, voluntary organizations\, including civil rights and political advocacy groups whose records the division..."
"Manuscripts from the Monasteries of Mt. Athos","https://www.loc.gov/collections/manuscripts-from-the-monasteries-of-mount-athos/about-this-collection/","","","The twenty monasteries which comprise the historic and legendary yet largely inaccessible monastic complex on Mt. Athos in Greece house a rich collection of over 11\,000 manuscripts. In 1952 and 1953\, the Library of Congress and the International Greek New Testament Project filmed the largest group of manuscripts in the history of Athos. This collection included 209 Greek and Georgian manuscripts of the Bible..."
"Manuscripts in St. Catherine's Monastery\, Mount Sinai","https://www.loc.gov/collections/manuscripts-in-st-catherines-monastery-mount-sinai/about-this-collection/","","","The renowned Eastern Orthodox Monastery of St. Catherine’s on Mt. Sinai was constructed by the Byzantine Emperor\, Justinian I\, in the late sixth century AD over the relics of the martyred saint and the place of the biblical burning bush as identified by St. Helena\, the mother of the Roman Emperor\, Constantine. It is home to reputedly the oldest continuously run library in existence..."
"Manuscripts in the Libraries of the Greek and Armenian Patriarchates in Jerusalem","https://www.loc.gov/collections/greek-and-armenian-patriarchates-of-jerusalem/about-this-collection/","","","As Jerusalem\, the location of Christ’s Passion\, has been central to the Christian religion since its inception\, all the early churches sought a presence in that storied and holy city. The Greek Orthodox Church and the Armenian Apostolic Church\, for example\, both maintain ancient patriarchates in Jerusalem and both have created renowned libraries in them. In 1949 Kenneth W. Clark arrived in Jerusalem to..."
"Mapping the National Parks","https://www.loc.gov/collections/national-parks-maps/about-this-collection/","Media-Maps","","This collection documents the history\, cultural aspects and geological formations of areas that eventually became National Parks. The collection consists of approximately 200 maps dating from the 17th century to the present\, reflecting early mapping of the areas that would become four National Parks\, as well as the parks themselves. Production of this collection is being supported by a generous gift from The Rockefeller..."
"Maps of Liberia\, 1830-1870","https://www.loc.gov/collections/maps-of-liberia-1830-to-1870/about-this-collection/","Media-Maps","","This collection of Liberia maps includes twenty examples from the American Colonization Society (ACS)\, organized in 1817 to resettle free black Americans in West Africa. These maps show early settlements in Liberia\, indigenous political subdivisions\, and some of the building lots that were assigned to settlers. This on-line presentation also includes other nineteenth-century maps of Liberia: a map prepared for a book first published..."
"The March King: John Philip Sousa","https://www.loc.gov/collections/john-philip-sousa/about-this-collection/","Media-Photos","","Painting of Sousa during US Marine Band era\, [n.d.]. Performing Arts Reading Room. An online presentation of selected music manuscripts\, photographs\, printed music\, historical recordings of the Sousa Band\, copies of programs and press clippings\, and more from the Sousa Collection at the Library of Congress. About the John Philip Sousa Collection at the Library of Congress John Philip Sousa began donating his music..."
"Margaret Bayard Smith Papers","https://www.loc.gov/collections/margaret-bayard-smith-papers/about-this-collection/","","","The papers of Margaret Bayard Smith (1778-1844)\, author and leader in Washington\, D.C.\, social and political circles during the first decades of the nineteenth century\, span the years 1789-1874\, with the bulk of the material concentrated in the period 1796-1840. They include family and general correspondence\, diaries\, journals\, and commonplace books. Most of the papers consist of family correspondence between Smith and her sisters..."
"Martha Graham at the Library of Congress","https://www.loc.gov/collections/martha-graham/about-this-collection/","","","(clockwise from top left) The Dance: Washington Festival [review]; \"Graham Presents Copland's Ballet\" [clipping] by Oscar Thompson; A unique dance by Martha Graham [clipping]\, 1926; [Tangara]\, photograph of Martha Graham. Dancer\, choreographer\, and company director Martha Graham (1894-1991) is considered one of the pioneering founders of American modern dance. In a career spanning over seven decades\, Graham developed her own innovative technique and produced..."
"Martin Van Buren Papers\, 1787 to 1910","https://www.loc.gov/collections/martin-van-buren-papers/about-this-collection/","","","The Martin Van Buren Papers\, one of twenty-three presidential collections in the Library of Congress Manuscript Division\, contains more than 6\,000 items dating from 1787 to circa 1910. The bulk of the material dates from the 1820s\, when Van Buren (1782-1862) was a U.S. senator from New York\, through his service as secretary of state and vice president in the Andrew Jackson administrations (1829-1837)\,..."
"Mary Ann Bickerdyke Papers","https://www.loc.gov/collections/mary-ann-bickerdyke-papers/about-this-collection/","","War-AmericanCivilWar","The papers of Mary Ann Ball Bickerdyke (1817-1901)\, a Civil War nurse and agent for the United States Sanitary Commission who was known as \"Mother Bickerdyke\" to Union soldiers\, consist of 1\,800 items in five containers spanning the years 1847-1905. A large portion of the papers consists of correspondence grouped into family\, general\, and special correspondence files. Among the correspondence of the Ball and..."
"Mary Church Terrell Papers","https://www.loc.gov/collections/mary-church-terrell-papers/about-this-collection/","","","The papers of educator\, lecturer\, suffragist\, and civil rights activist Mary Church Terrell (1863-1954) consist of approximately 13\,000 documents\, comprising 25\,323 images\, all of which were digitized from 34 reels of previously produced microfilm. Spanning the years 1851 to 1962\, with the bulk of the material concentrated in the period 1886-1954\, the collection contains diaries\, correspondence\, printed matter\, clippings\, and speeches and writings\, primarily..."
"Matson (G. Eric and Edith) Photograph Collection","https://www.loc.gov/collections/g-eric-and-edith-matson-photographs/about-this-collection/","Media-Photos","","This collection is a rich source of historical images of the Middle East. The majority of the images depict Palestine (present day Israel and the West Bank) from 1898 to 1946. Most of the collection consists of over 22\,000 glass and film photographic negatives and transparencies created by the American Colony Photo Department and its successor firm\, the Matson Photo Service. Over 1\,000 photographic..."
"Military Battles and Campaigns","https://www.loc.gov/collections/military-battles-and-campaigns/about-this-collection/","Media-Maps","War-General","This category contains maps showing campaigns of major military conflicts including troop movements\, defensive structures and groundworks\, roads to and from sites of military engagements\, campsites\, and local buildings\, topography and vegetation. Some of the maps are manuscripts drawn on the field of battle\, while others are engraved including some that have manuscript annotations reflecting the history of the battle or campaign. A significant..."
"Millard Fillmore Papers","https://www.loc.gov/collections/millard-fillmore-papers/about-this-collection/","","","The papers of Millard Fillmore (1800-1874)\, educator\, U.S. representative from New York\, vice president\, and thirteenth president of the United States\, contain approximately thirty-five items spanning the years 1839-1925\, with the bulk dating from 1839 to 1870. The collection includes correspondence relating primarily to political issues such as slavery\, Compromise of 1850\, Fugitive Slave Law of 1850\, Kansas-Nebraska Act\, John Brown's 1859 raid on..."
"The Modenhauer Archives - The Rosaleen Moldenhauer Memorial","https://www.loc.gov/collections/moldenhauer-archives/about-this-collection/","","","The Moldenhauer Archives at the Library of Congress contain approximately 3\,500 items documenting the history of Western music from the medieval period through the modern era and is the richest composite gift of musical documents ever received by the Library. Before his death\, Hans Moldenhauer (1906-1987) established a directive and provided funds for the Library of Congress to publish The Rosaleen Moldenhauer Memorial: Music..."
"Montana Folklife Survey Collection","https://www.loc.gov/collections/montana-folklife-survey-1979/about-this-collection/","Media-Photos","","The Montana Folklife Survey was conducted in the summer of 1979 by the American Folklife Center of the Library of Congress\, in cooperation with the Montana Arts Council. The survey was a field research project to document traditional folklife in Montana. The collection consists of approximately 145 sound recordings\, 10\,500 photographs; and 3 ½ linear feet of manuscripts that document interviews with Montanans in..."
"Music for the Nation: American Sheet Music\, ca. 1820-1860","https://www.loc.gov/collections/american-sheet-music-1820-to-1860/about-this-collection/","","","Consists of over 15\,000 pieces of sheet music registered for copyright during the years 1820 to 1860. This collection complements an earlier American Memory project\, Music for the Nation: American Sheet Music 1870-1885 as well as the Band Music from the Civil War Era and Sheet Music from the Civil War Era. Included are popular songs\, operatic arias\, piano music\, sacred and secular vocal..."
"Music for the Nation: American Sheet Music\, ca. 1870-1885","https://www.loc.gov/collections/american-sheet-music-1870-to-1885/about-this-collection/","","","Consists of over 47\,000 pieces of sheet music registered for copyright during the years 1870 to 1885. Included are popular songs\, piano music\, sacred and secular choral music\, solo instrumental music\, method books and instructional materials\, and music for band and orchestra. In 1870 the United States Congress established the Library of Congress as the sole agency for copyright registration and deposit. The law..."
"Music Treasures Consortium","https://www.loc.gov/collections/music-treasures-consortium/about-this-collection/","","","\"Um mitternacht\" by Franz Schubert. [manuscript score]. Music Division\, Library of Congress. About the Music Treasures Consortium The Music Treasures Consortium provides online access to the world's most valued music manuscripts and print materials\, held at the most renowned music archives\, in order to further research and scholarship. The Music Treasures Consortium is an alliance of many libraries with holdings of unique music resources\,..."
"Musical Instruments at the Library of Congress","https://www.loc.gov/collections/musical-instruments-at-the-library-of-congress/about-this-collection/","","","Instrument collecting at the Library began in 1935 with the donation of five Stradivarius stringed instruments by Mrs. Gertrude Clarke Whittall. Since then other instruments have been acquired\, including strings\, flutes and winds\, and Siamese folk instruments. This site offers descriptive information about the instrument collections\, as well as photos and an audio comparison of five violins by violinist Nicholas Kitchen performing Bach’s Chaconne...."
"Nathan W. Daniels Diary and Scrapbook","https://www.loc.gov/collections/nathan-w-daniels-diary-and-scrapbook/about-this-collection/","Media-Photos","War-AmericanCivilWar","The papers of Union army officer and Freedmen’s Bureau advocate Nathan W. Daniels (1836-1867)\, spanning the years 1861-1867\, consist of three volumes of a handwritten diary with photographs\, illustrations\, and newspaper clippings mounted throughout the text. Also included are a typescript of summaries and transcripts of the bulk of the diaries prepared by the donor of the collection\, C. P. Weaver\, and a scrapbook..."
"National American Woman Suffrage Association Collection","https://www.loc.gov/collections/national-american-woman-suffrage-association/about-this-collection/","","","The National American Woman Suffrage Association (NAWSA) Collection is a library of nearly 800 books and pamphlets documenting the suffrage campaign that were collected between 1890 and 1938 by members of NAWSA and donated to the Rare Books Division of the Library of Congress on November 1\, 1938. The bulk of the collection is derived from the library of Carrie Chapman Catt\, president of..."
"National Child Labor Committee Collection","https://www.loc.gov/collections/national-child-labor-committee/about-this-collection/","Media-Photos","","Working as an investigative photographer for the National Child Labor Committee (NCLC)\, Lewis Hine (1874-1940) documented working and living conditions of children in the United States between 1908 and 1924. The NCLC photos are useful for the study of labor\, reform movements\, children\, working class families\, education\, public health\, urban and rural housing conditions\, industrial and agricultural sites\, and other aspects of urban and..."
"National Jukebox","http://www.loc.gov/jukebox/","","","The National Jukebox The Library of Congress presents the National Jukebox\, which makes historical sound recordings available to the public free of charge. The Jukebox includes recordings from the extraordinary collections of the Library of Congress Packard Campus for Audio Visual Conservation and other contributing libraries and archives. Recordings in the Jukebox were issued on record labels now owned by Sony Music Entertainment\, which..."
"National Photo Company Collection","https://www.loc.gov/collections/national-photo-company/about-this-collection/","Media-Photos","","This collection documents virtually all aspects of Washington\, D.C.\, life. During the administrations of Presidents Wilson\, Harding\, Coolidge\, and Hoover\, the National Photo Company supplied photographs of current news events in Washington\, D.C.\, as a daily service to its subscribers. It also prepared sets of pictures on popular subjects and undertook special photographic assignments for local businesses and government agencies. The images date between..."
"National Screening Room","https://www.loc.gov/collections/national-screening-room/about-this-collection/","","","The National Screening Room showcases the riches of the Library’s vast moving image collection\, designed to make otherwise unavailable movies\, both copyrighted and in the public domain\, freely accessible to the viewers worldwide. The majority of movies in the National Screening Room are freely available as both 5 mb MP4 and ProRes 422 MOV downloads. The National Screening Room is a project of the..."
"New York Journal and Related Titles\, 1896-1899","https://www.loc.gov/collections/new-york-journal/about-this-collection/","","","The New York Journal Collection consists of The Journal (1896-01-01 to 1896-07-18) and subsequent titles\, New York Journal (1896-07-16 to 1897-04-01) and New York Journal and Advertiser (1897-04-02 to 1899-12-31) . In 1895\, William Randolph Hearst purchased the paper to compete with Joseph Pulitzer's New York World. The New York Journal is an example of \"Yellow Journalism\,\" where the newspapers competed for readers through bold headlines..."
"Newspaper Pictorials: World War I Rotogravures\, 1914-1919","https://www.loc.gov/collections/world-war-i-rotogravures/about-this-collection/","","War-WW1","This online collection is drawn from three primary sources: The War of the Nations: Portfolio in Rotogravure Etchings\, a volume published by the New York Times shortly after the armistice that compiled selected images from their \"Mid-Week Pictorial\" supplements of 1914-19; Sunday rotogravure sections from the New York Times for 1914-19; and Sunday rotogravure sections from the New York Tribune for 1916-19."
"Now What a Time: Blues\, Gospel\, and the Fort Valley Music Festivals\, 1938-1943","https://www.loc.gov/collections/blues-gospel-and-the-fort-valley-music-festivals/about-this-collection/","","","Consists of approximately one hundred sound recordings\, primarily blues and gospel songs\, and related documentation from the folk festival at Fort Valley State College (now Fort Valley State University)\, Fort Valley\, Georgia. The documentation was created by John Wesley Work III in 1941 and by Lewis Jones and Willis Laurence James in March\, June\, and July 1943. Also included are recordings made in Tennessee..."
"Occupational Folklife Project","https://www.loc.gov/collections/occupational-folklife-project/about-this-collection/","","","The Occupational Folklife Project (OFP) began in 2010 as a multi-year project by the American Folklife Center (AFC) to document the culture of contemporary American workers during an era of economic and social transition. To date\, fieldworkers across the United States have recorded more than 600 audio and audiovisual oral history interviews with workers in scores of trades\, industries\, crafts\, and professions. The completed..."
"Omaha Indian Music","https://www.loc.gov/collections/omaha-indian-music/about-this-collection/","","","Presented here are selections from the American Folklife Center's collections documenting Omaha music traditions. The sound recordings include 44 wax cylinder recordings made in the 1890s (first published on a 1985 LP entitled Omaha Indian Music: Historical Recordings from the Fletcher/La Flesche Collection)\, 323 songs and spoken-word segments from the 1983 Omaha harvest celebration pow-wow\, 24 spoken-word segments from an interview with an Omaha..."
"Omar Ibn Said Collection","https://www.loc.gov/collections/omar-ibn-said-collection/about-this-collection/","","","The Omar Ibn Said Collection consists of 42 digitized documents in both English and Arabic\, including an 1831 manuscript in Arabic on \"The Life of Omar Ibn Said\,\" a West African slave in America\, which is the centerpiece of this unique collection of texts. Some of the manuscripts in this collection include texts in Arabic by another West African slave in Panama\, and others..."
"Origins of American Animation","https://www.loc.gov/collections/origins-of-american-animation/about-this-collection/","","","The development of early American animation is represented by this collection of 21 animated films and 2 fragments\, which spans the years 1900 to 1921. The films include clay\, puppet\, and cut-out animation\, as well as pen drawings. They point to a connection between newspaper comic strips and early animated films\, as represented by Keeping Up With the Joneses\, Krazy Kat\, and The Katzenjammer..."
"Panoramic Maps","https://www.loc.gov/collections/panoramic-maps/about-this-collection/","Media-Maps","","The panoramic map was a popular cartographic form used to depict U.S. and Canadian cities and towns during the late nineteenth and early twentieth centuries. Known also as bird's-eye views\, perspective maps\, and aero views\, panoramic maps are nonphotographic representations of cities portrayed as if viewed from above at an oblique angle. Although not generally drawn to scale\, they show street patterns\, individual buildings\,..."
"Panoramic Photographs","https://www.loc.gov/collections/panoramic-photographs/about-this-collection/","Media-Photos","","Contains approximately four thousand images featuring American cityscapes\, landscapes\, and group portraits. The images date from 1851 to 1991 and depict scenes in all fifty states and the District of Columbia. More than twenty foreign countries and a few U.S. territories are also represented. These panoramas average between twenty-eight inches and six feet in length\, with an average width of ten inches. These panoramas..."
"Papal Transition 2005 Web Archive","https://www.loc.gov/collections/papal-transition-2005-web-archive/about-this-collection/","","","Collection Period: April 5\, 2005 to November 30\, 2005. On April 2\, 2005\, Pope John Paul II died at the age of 84; seventeen days later\, on April 19\, 2005\, Pope Benedict XVI was elected the 265th pope of the Roman Catholic Church. The death of a presiding pope of the Catholic Church is an event that affects more than one billion Catholics worldwide..."
"Patriotic Melodies","https://www.loc.gov/collections/patriotic-melodies/about-this-collection/","","","Patriotic Melodies tells the stories behind many of the songs that have now become part of the American national heritage. A combination of hymns\, national songs\, music of the theater\, radio and television\, military themes\, and poetry\, all of this music demonstrates that while over history many things have changed\, this expression of pride and hope remain a constant part of the American experience...."
